,,,,,,,,
,parent_name,parent_ticker,spinoff_name,spinoff_ticker,spinoff_date,,,
,Western Copper Corporation,WRN,TSXV:NCX,NCX,10/17/11,,,
,Beam Inc,BEAM ,Fortune Brands Home & Security,FBHS,10/3/11,,,
,Forest Oil Corporation,FST,Lone Pine Resources,LPR,9/30/11,,,
,Marathon Oil Corporation,MRO,Marathon Petroleum Corporation,MPC,6/30/11,,,
,Cablevision Systems,CVC,AMC Networks,AMCX,6/30/11,,,
,Toromont Industries Ltd, TIH,Enerflex,TSX: EFX,6/1/2011,,,
,Foster's Group Limited,FGL,Treasury Wine Estates,TSRYY,5/10/11,,,
,CVR Energy,CVI,CVR Partners,UAN,4/8/11,,,
,Northrop Grumman Corporation,NOC,Huntington Ingalls Industries,HII,3/30/11,,,
,ArcelorMittal,MT,Aperam,APEMY,1/26/11,,,
,Motorola Solutions,MSI,Motorola Mobility Holdings,MMI,1/4/11,,,
,Contango Oil & Gas Company,MCF,Contango Ore,CTGO,12/20/10,,,
,Sun Healthcare Group,SUNH,Sabra Healthcare REIT,SBRA,11/15/10,,,
,General Growth Properties Inc,GGP,The Howard Hughes Corporation,HHC,11/9/10,,,
,LRAD Corporation,LRAD,Parametric Sound Corporation,PAMT,9/27/10,,,
,McDermott International Inc.,MDR,The Babcock & Wilcox Company,BWC,7/30/10,,,
,Vishay Intertechnology,VSH,Vishay Precision Group,VPG,7/6/10,,,
,Questar Corporation,STR,QEP Resources,QEP,6/30/10,,,
,Pharmaceutical Product Development,PPDI,Furiex Pharmaceuticals,FURX,6/15/10,,,
,CoreLogic Inc,CLGX,First American Financial Corporation,FAF,6/1/10,,,
,Cablevision Systems Corporation,CVC,Madison Square Garden,MSG,2/9/10,,,
,Time Warner,TWX,AOL,AOL,12/9/09,,,
,Cardinal Health,CAH,Carefusion Corporation,CFN,8/31/09,,,
,Pride International,PDE,"Seahawk Drilling, Inc",HAWK ,8/24/09,,,
